removed,features_left,n,prevalence,auc,auprc,recall,precision,alert_rate,brier,ece,delta_auc,auc_lo,auc_hi,unflagged_delay_pct,recall_matched,precision_matched
inbound_status,5,128450,0.2808096535616972,0.7310360468534007,0.555364773287068,0.14588300526753534,0.7784023668639053,0.0526274815103153,0.1723036989660862,0.044706295737453126,0.1555758769737201,0.727894977983607,0.7340363323458727,80.21661696252644,0.3816190740227336,0.5634465820712239
schedule,5,128450,0.2808096535616972,0.8424237068381084,0.7589385713424626,0.527418907679512,0.8390226691364558,0.17652004671078242,0.12376750887649589,0.023064388075960143,0.04418821698901243,0.8398353523001915,0.8453558064025315,40.65772181347646,0.5534516218464097,0.8171510437986083
time_of_day,5,128450,0.2808096535616972,0.8778864852464774,0.8410866056074635,0.6244801774327696,0.9338723051409619,0.18777734527053327,0.09485017751200489,0.014459160024746034,0.008725438580643452,0.8754800615211986,0.8803958313283133,28.637569215900633,0.628860548932631,0.9284895620139173
aircraft_type,6,128450,0.2808096535616972,0.8800751679112798,0.8409526754427753,0.6180205156639867,0.9168003290150113,0.18929544569871545,0.09675168982983727,0.015535123805664366,0.006536755915841019,0.8773995442585644,0.882573018409143,28.32140774536949,0.6195730523981148,0.9147769136307818
airport,6,128450,0.2808096535616972,0.8820006048053228,0.8458196389898203,0.6242583864707513,0.9315323514810525,0.18818217205138185,0.09391858138387099,0.015195473296844932,0.0046113190217980105,0.8794980735178739,0.8846538138027218,27.98201190704588,0.6285278624896036,0.9279983626688498
(none - full model),7,128450,0.2808096535616972,0.8866119238271208,0.8507471958475391,0.6313279733850845,0.9321326238231682,0.1901907356948229,0.09238760786363723,0.015298168820955083,0.0,0.884223726655696,0.8890666060404072,27.429306408712208,0.6313279733850845,0.9321326238231682
