removed,features_left,n,prevalence,auc,auprc,recall,precision,alert_rate,brier,ece,delta_auc,auc_lo,auc_hi,unflagged_delay_pct,recall_matched,precision_matched
inbound_status,5,128450,0.13710393149085248,0.772727378004687,0.3934833595030414,0.10050536596445403,0.7682291666666666,0.017936940443752433,0.10219742144631362,0.030319455398354483,0.21259951960435264,0.7696687304517987,0.7761615304950826,86.12671061584987,0.3715291579126682,0.38164955669622025
schedule,5,128450,0.13710393149085248,0.9452515167569402,0.7716278266126089,0.6495372210550224,0.7734802894042869,0.11513429349941612,0.0554193211235343,0.011806784046566212,0.040075380852099496,0.9436362286734277,0.9470500242573415,31.138294695737144,0.7134177502697178,0.7328511432571162
aircraft_type,6,128450,0.13710393149085248,0.9817703265990592,0.8890253954280427,0.8149452047016069,0.8355358910170577,0.133725184896847,0.034482899765515725,0.006452980377252003,0.0035565710099805248,0.980957303342314,0.9825204671845328,13.336747105232021,0.8139231162341718,0.8360942603826411
time_of_day,5,128450,0.13710393149085248,0.9830329941942415,0.9155376884649393,0.8268127874623815,0.8532669205977146,0.1328532502919424,0.031397589401513736,0.0055122674537063,0.002293903414798182,0.9821281153603216,0.9838904564111741,13.214990631950526,0.8291408778604281,0.8517265515632291
airport,6,128450,0.13710393149085248,0.983519869448793,0.9078397858255062,0.8245414797569701,0.8388792605430387,0.13476060724017128,0.03266036453297671,0.005765807676376959,0.001807028160246693,0.9827540501219167,0.9842599155506871,13.499631600593695,0.8197717335756062,0.8421021931871209
(none - full model),7,128450,0.13710393149085248,0.9853268976090397,0.9189369717250843,0.8310714894100278,0.8537097526831544,0.13346827559361618,0.03064975617850071,0.005489329469532487,0.0,0.984629826227384,0.9859939335794536,12.729091533950024,0.8310714894100278,0.8537097526831544
