filter,n,pooled_r,within_route_r
none (as submitted),25363,0.21029520410569585,0.06572246173166707
gap < 24 h,24217,0.1455511789037524,0.04118036915926893
gap < 12 h,21332,-0.004349635824347405,-0.02400637073869141
gap < 6 h,21038,-0.028099070051967694,-0.03019626505389922
gap < 3 h,20834,-0.02931681321459884,-0.03060384407346583
