month,ref,n,prevalence,auc,auprc,recall,precision,alert_rate,brier,ece,auc_lo,auc_hi
2022_01,out-of-time,454290,0.18365361333069186,0.829939786677546,0.7258904324578888,0.5307076421516924,0.8566895617684047,0.11377093926786855,0.08490885573616752,0.017693256378737962,0.8278971766547124,0.8317577790575601
2024_01,out-of-time,479131,0.22019865130830607,0.8611936459427962,0.7960123625069826,0.6000151653017896,0.8954269629545808,0.14755254825924435,0.08483395116678126,0.011923975046547004,0.8595760109412839,0.8625939952177574
2024_06,in-distribution,128450,0.2808096535616972,0.8820006048053228,0.8458196389898203,0.6242583864707513,0.9315323514810525,0.18818217205138185,0.09391858138387099,0.015195473296844932,0.8795014111563338,0.8846026319949859
2025_06,out-of-time,561216,0.2633478019158399,0.876262772448829,0.8293812646185295,0.6109069995602017,0.9158399772787211,0.17566498460485802,0.09326897140095038,0.009180092314735145,0.8750997190483039,0.8775159800235443
2026_01,out-of-time,464429,0.19488231785698137,0.8558251686234339,0.7712726100344693,0.5875548288015556,0.8635618128968351,0.1325950791186597,0.0814499173394094,0.022114050074739353,0.854419800411042,0.8574474321736435
