decision_point,signal,n_test,auc,auprc,recall_matched,precision_matched,unflagged_delay_pct_matched,lead_median,lead_p10,lead_p25,lead_median_y1,lead_p10_y1,pct_lead_under_30,pct_lead_under_60
DP3 inbound in-block (as submitted),inbound_arr_delay,128450,0.8866119238271208,0.8507471958475391,0.6313279733850845,0.9321326238231682,27.429306408712208,68.0,41.0,51.0,63.0,39.0,1.4783962631374075,38.67730634488128
DP2 inbound wheels-on,inbound_delay_at_wheelson,128450,0.8779738754591409,0.8377072888536166,0.6173551427779318,0.9115022513303316,28.542209921377776,77.0,48.0,59.0,74.0,46.0,0.31296224211755547,25.737641105488517
DP1 inbound off-block,inbound_dep_delay,128450,0.854736832557127,0.7999014172260442,0.5803714998613807,0.8568972574703234,30.98041842296161,212.0,125.0,156.0,217.0,129.0,0.0,0.004671078240560529
