subset,n,prevalence,auc,auprc,recall,precision,alert_rate,brier,ece
full,128450,0.2808096535616972,0.8866119238271208,0.8507471958475391,0.6313279733850845,0.9321326238231682,0.1901907356948229,0.09238760786363723,0.015298168820955083
inbound fits buffer,116837,0.21458099745799702,0.8380445421279529,0.7323618846539166,0.47393402736229107,0.8794966691339748,0.11563117847942005,0.10070374927176287,0.01668837939363109
