window,auc_clean,auc_leaky,ref
2022-01-01,0.606427296788449,0.7503221590359338,out-of-window
2024-01-01,0.6297914133214532,0.7980398475881454,out-of-window
2024-06-01,0.8327042169361016,0.8497111350608442,in-distribution
2025-06-01,0.6499873871851272,0.8316819958840751,out-of-window
2026-01-01,0.6106761461631809,0.7635761244267845,out-of-window
