hub,n_eval,prevalence_eval,none_recall,none_precision,none_alert,none_ece,thr_recall,thr_precision,thr_alert,thr_value,cal_recall,cal_precision,cal_alert,cal_ece,cal_auc,retrain_recall,retrain_precision,retrain_alert,retrain_ece,retrain_auc,source_auc
ATL,8197,0.2614371111382213,0.5244983667755483,0.9493243243243243,0.1444430889349762,0.025169051366711624,0.65142323845077,0.7151639344262295,0.2381359033792851,0.2299319241674497,0.5240317312179188,0.9492814877430262,0.1443210930828352,0.03273245005966355,0.8515852659707062,0.5445636957536164,0.929140127388535,0.15322679028913017,0.03355221148193021,0.8584472135290089,0.8523331623723709
DEN,7776,0.2872942386831276,0.5823634735899731,0.9386724386724387,0.17824074074074073,0.026314877192310186,0.508952551477171,0.982713915298185,0.1487911522633745,0.7434103664795401,0.5971351835273053,0.9174690508940853,0.18698559670781892,0.009333926835534991,0.8649962668086496,0.5962399283795882,0.9129540781357094,0.18762860082304528,0.008485461412039774,0.8634162432431821,0.8649471990080146
DFW,7539,0.32258920281204406,0.608141447368421,0.913526868437307,0.21474996683910333,0.028059765967816265,0.44366776315789475,0.9981498612395929,0.1433877172038732,0.9463360072670179,0.6698190789473685,0.8623610375860243,0.250563735243401,0.015622084539855632,0.876957855188441,0.6578947368421053,0.8983717012914093,0.23623822788168192,0.020018609673071227,0.8798162174852886,0.8779158894396751
ORD,6567,0.3386630120298462,0.6357913669064749,0.9302631578947368,0.23146033196284452,0.032747464308020814,0.6218525179856115,0.946611909650924,0.2224760164458657,0.557798406280687,0.608363309352518,0.954834156669019,0.2157758489416781,0.027922468374259223,0.8636207773362246,0.622751798561151,0.9460382513661202,0.22293284604842395,0.026286862208361766,0.8587959185955403,0.8639003660069873
CLT,5218,0.33173629743196625,0.6175621028307337,0.9377192982456141,0.21847451130701417,0.029834570751175196,0.5748122472559214,0.9688412852969815,0.1968187044844768,0.6415858528842617,0.6395147313691508,0.9225,0.22997316979685703,0.01786674330806491,0.8914483390233626,0.6441363373772386,0.9146841673502871,0.23361441165197394,0.020132761609438717,0.8932081974195812,0.891278193146882
LAX,4536,0.22861552028218696,0.6084860173577628,0.937592867756315,0.14836860670194005,0.020460545310440014,0.6711668273866924,0.8149882903981265,0.1882716049382716,0.3395213056544066,0.579556412729026,0.9693548387096774,0.13668430335097,0.006805158474120218,0.8684928025998887,0.6229508196721312,0.9215406562054208,0.1545414462081129,0.00954874905368884,0.8663581521983276,0.8688947634301355
LAS,4499,0.3060680151144699,0.6005809731299927,0.924022346368715,0.1989330962436097,0.027920246686968,0.5548293391430646,0.9561952440550688,0.17759502111580353,0.6370777071826526,0.6042120551924474,0.9183222958057395,0.20137808401867083,0.02242766660142987,0.8670956507499195,0.6063907044299202,0.912568306010929,0.20337852856190264,0.021476072104182897,0.8583758200174274,0.8673938600519098
SEA,4286,0.2662155856276248,0.5477651183172656,0.9370314842578711,0.15562295846943536,0.02034394856502934,0.5740578439964943,0.8997252747252747,0.16985534297713487,0.42004989058971504,0.558282208588957,0.9139167862266858,0.16262249183387775,0.014452006616459808,0.8532381017404475,0.5872042068361086,0.8897742363877822,0.1756882874475035,0.025215265941023027,0.8470992310039585,0.8541522860180383
