lo,hi,n_total,n,prevalence,auc,auprc,recall,precision,alert_rate,brier,ece
20,720,564144,128450,0.2808096535616972,0.8866119238271208,0.8507471958475391,0.6313279733850845,0.9321326238231682,0.1901907356948229,0.09238760786363723,0.015298168820955083
10,1440,586818,133010,0.2827982858431697,0.8794117739475629,0.8388087940108707,0.6095972351455536,0.917897602177655,0.1878129463950079,0.09859899211253526,0.0184309808268504
30,480,503581,115946,0.2887896089558933,0.8964819327329032,0.8655510378849824,0.6546111575677935,0.9365893261547665,0.20184396184430684,0.0892232437922864,0.013736379600488603
1,1440,586903,133028,0.28283519259103346,0.8796380329320246,0.8387718568615319,0.6095415282392027,0.918535725728933,0.18768980966413085,0.09867081272839719,0.018600615076046913
45,300,386619,89406,0.30136679864886023,0.8927868853883114,0.8673325951605513,0.6605181116389549,0.9351092896174863,0.21287161935440574,0.09188326700209944,0.012411310268880284
