hub,n,prevalence,auc,auprc,recall,precision,alert_rate,brier,ece,auc_lo,auc_hi
ATL,27322,0.20031476465851694,0.8366530808183072,0.7318832736302143,0.482733418600402,0.9215207534007673,0.10493375301954469,0.09206999447904232,0.007952983188138064,0.830017886746793,0.8432893839662186
DEN,25918,0.2842040280885871,0.8710409986292977,0.8327405979306117,0.5995112679880532,0.9357914812460267,0.18207423412300333,0.10004309818478177,0.01997908009144776,0.8660949378583305,0.8759282528595634
DFW,25127,0.34246030166752894,0.8736616984759498,0.8545504811472743,0.5984892504357932,0.9219477264590047,0.22231066183786366,0.11588207495742747,0.037312964027754476,0.8689514899602989,0.8782604099293391
ORD,21888,0.2784630847953216,0.8643848659962796,0.8249722615487624,0.6098441345365053,0.9175512219205134,0.18507858187134502,0.09945827862284927,0.018474621435892194,0.8595183596269397,0.8709526908073406
CLT,17393,0.29598114183867075,0.8780935275422822,0.8400609970008253,0.5938228438228438,0.9191220685508118,0.19122635543034555,0.10383227615956535,0.018832462818850513,0.8721996065106385,0.8848139977694073
LAX,15117,0.21505589733412714,0.8545362204412932,0.7879364847448892,0.5776684097200862,0.9246676514032496,0.13435205397896408,0.08392656713970278,0.015558674893259555,0.8457037576585619,0.8634941536765834
LAS,14996,0.27807415310749534,0.8672160147367051,0.8249287373693386,0.6045563549160672,0.9134057971014493,0.18404907975460122,0.10002650807571802,0.013277024189223259,0.8593301858586118,0.8749798148820606
SEA,14284,0.254620554466536,0.8408945101273944,0.7823516163835371,0.5353313170195216,0.9267015706806283,0.14708765051806216,0.10433186187275062,0.017481391133140338,0.832245091548739,0.8504503766657455
