condition,auc,auprc,ece,recall,precision,alert_rate,flip_vs_clean,unflagged_delay_pct,thr_matched,recall_matched,precision_matched,unflagged_delay_pct_matched
clean,0.9853268976090397,0.9189369717250843,0.005489329469532487,0.8310714894100278,0.8537097526831544,0.13346827559361618,0.0,12.729091533950024,0.499993239238537,0.8310714894100278,0.8537097526831544,12.729091533950024
noise sd=5 min,0.9824688891190603,0.9070728716888927,0.004567824210367193,0.8305604451763102,0.8307491338672119,0.13707279096924874,0.01523550019462826,12.725272950469217,0.5265527862694828,0.8179546874112771,0.8402356509566029,13.656882120327948
noise sd=10 min,0.9735887338338598,0.8722386962202893,0.014632052064123935,0.808585543126455,0.7806161605087162,0.14201634877384195,0.03123394316854807,14.046315035641154,0.5608920989228148,0.7817841122026007,0.8030797946803546,16.150166734378708
noise sd=20 min,0.9399637736779671,0.7390102183804574,0.05168956356994843,0.7769008006359661,0.6286817074851813,0.16942779291553134,0.07328143246399377,15.915981147465555,0.6915572666049078,0.683947532792005,0.7025781614559029,24.15804929227876
noise sd=40 min,0.8590943043259465,0.4699084624065194,0.1287885399470382,0.7190960195332463,0.426699012769972,0.2310548851693266,0.1565823277539899,19.875288819500568,0.8759382445263884,0.5041735279086934,0.5179071395240318,42.024763200874396
coarse status (4 buckets),0.971268723925631,0.8585535401054963,0.01414629489815694,0.7916075180285049,0.7697106890459364,0.1410042818217205,0.041930712339431686,17.436841568223375,0.5464170569001313,0.76372721594458,0.7845310312645823,19.575498716392552
"missing, mean fallback",0.709110537462876,0.3259900036955129,0.11037754369580778,0.11492816989381636,0.6789667896678967,0.023207473725184898,0.12134682755936162,84.41467062213489,0.022047813656667956,0.2956106978592925,0.3036630891273915,67.09689373883768
"missing, model retrained",0.772727378004687,0.3934833595030414,0.030319455398354483,0.10050536596445403,0.7682291666666666,0.017936940443752433,0.12105877773452706,86.12671061584987,0.2141378900972489,0.3715291579126682,0.38164955669622025,60.570120773657536
