variant,n,prevalence,auc,auprc,recall,precision,alert_rate,brier,ece
"all rows, unmatched type coded -1",128450,0.2808096535616972,0.8866119238271208,0.8507471958475391,0.6313279733850845,0.9321326238231682,0.1901907356948229,0.09238760786363723,0.015298168820955083
matched rows only,112094,0.2807286741484825,0.8882651352269167,0.8534268881265429,0.6354709546205669,0.93483240615212,0.1908309097721555,0.09113428256882879,0.014966069485073053
type feature removed entirely,128450,0.2808096535616972,0.8800751679112798,0.8409526754427753,0.6180205156639867,0.9168003290150113,0.18929544569871545,0.09675168982983727,0.015535123805664366
