condition,auc,auprc,ece,recall,precision,alert_rate,flip_vs_clean,unflagged_delay_pct,thr_matched,recall_matched,precision_matched,unflagged_delay_pct_matched
clean,0.8866119238271208,0.8507471958475391,0.015298168820955083,0.6313279733850845,0.9321326238231682,0.1901907356948229,0.0,27.429306408712208,0.49992695903399775,0.6313279733850845,0.9321326238231682,27.429306408712208
noise sd=5 min,0.882460219187235,0.84282998123318,0.013471555866888037,0.6305517050180205,0.9051617781669121,0.19561697158427405,0.022179836512261582,27.518081370994203,0.5375255518695679,0.6202384252841697,0.9157593123209169,28.183439496230474
noise sd=10 min,0.8706471128851294,0.8201651861452249,0.026256914000066175,0.6230385361796507,0.8502194309927361,0.2057765667574932,0.04817438692098092,27.650259948680052,0.6071050920601158,0.5966454116994733,0.8809250920998772,29.532470785809778
noise sd=20 min,0.8356596351433037,0.7458572434295616,0.07228240215751583,0.6103132797338509,0.7110694789883394,0.24101985208252238,0.10535616971584275,28.30494691476733,0.8322765939075084,0.5345439423343499,0.7892345476872697,34.22622933077831
noise sd=40 min,0.7690446746850814,0.5796684796279029,0.15213169973155805,0.591211533130025,0.5518463887379345,0.3008407940833009,0.19505644219540677,29.536746817667353,0.9927522058373226,0.44086498475187136,0.6509209987720016,43.243964267510066
coarse status (4 buckets),0.8778369482603197,0.8275426097082412,0.031937101754965974,0.6018852231771555,0.8975525053745659,0.1883067341377968,0.03342934994161152,30.74826394998632,0.47900222383216895,0.6056002217909621,0.8941465411379451,30.402510825361183
"missing, mean fallback",0.7003611782866936,0.5116814974161242,0.06439522548411486,0.18963127252564457,0.6178861788617886,0.08618139353834177,0.18047489295445698,76.50732961053674,0.35890635688091854,0.3423620737454949,0.5054850593532542,62.591040691551655
"missing, model retrained",0.7310360468534007,0.555364773287068,0.044706295737453126,0.14588300526753534,0.7784023668639053,0.0526274815103153,0.16442195406773064,80.21661696252644,0.3510001411071046,0.3816190740227336,0.5634465820712239,57.94655111541994
